1	1
2	2
3	0
4	1
5	1
6	2
7	0
8	3
9	2
10	0
11	0
12	0
13	8
14	0
15	5
16	0
17	0
18	2
19	0
20	0
21	0
22	0
23	5
24	1
25	2
26	3
27	2
28	1
29	3
30	2
31	0
32	29
33	8
34	4
35	0
36	2
37	5
38	3
39	1
40	25
41	3
42	0
43	6
44	0
45	6
46	1
47	4
48	0
49	0
50	0
51	0
52	0
53	1
54	2
55	0
56	0
57	0
58	18
59	2
60	0
61	0
62	1
63	0
64	0
65	0
66	1
67	0
68	1
69	4
70	1
71	0
72	2
73	0
74	0
75	2
76	0
77	0
78	0
79	1
80	1
81	2
82	3
83	1
84	0
85	2
86	4
87	3
88	2
89	4
90	1
91	0
92	1
93	3
94	23
95	3
96	6
97	3
98	2
99	5
100	11
101	4
102	8
103	5
104	2
105	3
106	0
107	11
108	9
109	10
110	16
111	2
112	4
113	18
114	10
115	40
116	8
117	14
118	6
119	18
120	49
121	23
122	26
123	27
124	16
125	0
126	3
127	47
128	46
129	50
130	44
131	29
132	2
133	47
134	71
135	65
136	57
137	112
138	124
139	8
140	90
141	49
142	89
143	98
144	68
145	23
146	80
147	123
148	119
149	87
150	104
151	134
152	150
153	15
154	85
155	98
156	42
157	129
158	172
159	223
160	49
161	185
162	150
163	141
164	68
165	137
166	79
167	142
168	116
169	90
170	134
171	96
172	128
173	105
174	51
175	96
176	89
177	199
178	112
179	148
180	100
181	42
182	70
183	127
	
